# filename<TAB>category — PLAT ticket category mapping for docs/bugs/pulse_platform/ refactor
plat-001.md	human-decisions
plat-002.md	coding-agent-bridge
plat-003.md	step-execution
plat-004.md	scheduler-runs
plat-005.md	step-execution
plat-006.md	step-execution
plat-007.md	integrations
plat-008.md	cost-telemetry
plat-009.md	cost-telemetry
plat-010.md	pulse-governance
plat-011.md	cost-telemetry
plat-012.md	plans-contracts
plat-013.md	step-execution
plat-014.md	pulse-governance
plat-015.md	evaluation
plat-016.md	evaluation
plat-017.md	scheduler-runs
plat-018.md	pulse-governance
plat-019.md	cost-telemetry
plat-020.md	coding-agent-bridge
plat-021.md	human-decisions
plat-022.md	step-execution
plat-023.md	step-execution
plat-024.md	coding-agent-bridge
plat-025.md	step-execution
plat-026.md	frontend-chat
plat-027.md	step-execution
plat-028.md	browser-automation
plat-029.md	coding-agent-bridge
plat-030.md	coding-agent-bridge
plat-031.md	cost-telemetry
plat-032.md	cost-telemetry
plat-033.md	plans-contracts
plat-034.md	coding-agent-bridge
plat-035.md	coding-agent-bridge
plat-036.md	cost-telemetry
plat-037.md	learnings-knowledge
plat-038.md	evaluation
plat-039.md	pulse-governance
plat-040.md	scheduler-runs
plat-041.md	scheduler-runs
plat-042.md	human-decisions
plat-043.md	step-execution
plat-044.md	pulse-governance
plat-045.md	pulse-governance
plat-046.md	pulse-governance
plat-047.md	scheduler-runs
plat-048.md	coding-agent-bridge
plat-049.md	plans-contracts
plat-050.md	pulse-governance
plat-051.md	plans-contracts
plat-052.md	coding-agent-bridge
plat-053.md	coding-agent-bridge
plat-054.md	scheduler-runs
plat-055.md	learnings-knowledge
plat-056.md	evaluation
plat-057.md	pulse-governance
plat-058.md	learnings-knowledge
plat-059.md	learnings-knowledge
plat-060.md	step-execution
plat-061.md	step-execution
plat-062.md	step-execution
plat-063.md	frontend-chat
plat-064.md	frontend-chat
plat-065.md	pulse-governance
plat-066.md	step-execution
plat-067.md	scheduler-runs
plat-068.md	learnings-knowledge
plat-069.md	cost-telemetry
plat-070.md	scheduler-runs
plat-071.md	scheduler-runs
plat-072.md	pulse-governance
plat-073-remaining-board.md	pulse-governance
plat-074.md	plans-contracts
plat-075.md	evaluation
plat-076.md	learnings-knowledge
plat-077.md	human-decisions
plat-078.md	security-sandbox
plat-080.md	scheduler-runs
plat-081.md	cost-telemetry
plat-082.md	step-execution
plat-083.md	pulse-governance
plat-084.md	pulse-governance
plat-085.md	frontend-chat
plat-086.md	scheduler-runs
plat-087.md	step-execution
plat-088.md	cost-telemetry
plat-089.md	scheduler-runs
plat-090.md	cost-telemetry
plat-091.md	evaluation
plat-092.md	human-decisions
plat-093.md	human-decisions
plat-094.md	pulse-governance
plat-095.md	scheduler-runs
plat-096.md	plans-contracts
plat-097.md	scheduler-runs
plat-098.md	plans-contracts
plat-099.md	coding-agent-bridge
plat-100.md	coding-agent-bridge
plat-101.md	coding-agent-bridge
plat-102.md	coding-agent-bridge
plat-103.md	coding-agent-bridge
plat-104.md	frontend-chat
plat-105.md	coding-agent-bridge
plat-106.md	frontend-chat
plat-107.md	frontend-chat
plat-108.md	coding-agent-bridge
plat-109.md	frontend-chat
plat-110.md	security-sandbox
plat-111.md	frontend-chat
plat-112.md	frontend-chat
plat-113.md	coding-agent-bridge
plat-114.md	coding-agent-bridge
plat-115.md	pulse-governance
plat-116.md	coding-agent-bridge
plat-117.md	coding-agent-bridge
plat-118.md	security-sandbox
plat-119.md	pulse-governance
plat-120.md	integrations
plat-121.md	integrations
plat-122.md	integrations
plat-123.md	step-execution
plat-124.md	browser-automation
plat-125.md	step-execution
plat-126.md	step-execution
plat-127.md	coding-agent-bridge
plat-128.md	learnings-knowledge
plat-129.md	learnings-knowledge
plat-130.md	scheduler-runs
plat-131.md	frontend-chat
plat-132.md	integrations
plat-133.md	evaluation
plat-134.md	security-sandbox
plat-135.md	security-sandbox
plat-136.md	cost-telemetry
plat-137.md	pulse-governance
plat-138.md	pulse-governance
plat-139.md	coding-agent-bridge
plat-140.md	frontend-chat
plat-141.md	coding-agent-bridge
plat-142.md	pulse-governance
plat-143.md	frontend-chat
plat-144.md	scheduler-runs
plat-145.md	scheduler-runs
plat-146.md	scheduler-runs
plat-147.md	pulse-governance
plat-148.md	pulse-governance
plat-149.md	coding-agent-bridge
plat-150.md	coding-agent-bridge
plat-151.md	step-execution
plat-152.md	coding-agent-bridge
plat-153.md	coding-agent-bridge
plat-154.md	pulse-governance
plat-155.md	pulse-governance
plat-156.md	pulse-governance
plat-158.md	pulse-governance
plat-159.md	frontend-chat
plat-160.md	coding-agent-bridge
plat-161.md	frontend-chat
plat-162.md	step-execution
plat-163.md	pulse-governance
plat-164.md	coding-agent-bridge
plat-165.md	scheduler-runs
plat-166.md	cost-telemetry
plat-167.md	cost-telemetry
plat-168.md	learnings-knowledge
plat-169.md	frontend-chat
plat-170.md	step-execution
plat-171.md	coding-agent-bridge
plat-172.md	step-execution
plat-173.md	learnings-knowledge
plat-174.md	step-execution
plat-175.md	step-execution
plat-176.md	scheduler-runs
plat-177.md	coding-agent-bridge
plat-178.md	chat-reliability
plat-179.md	coding-agent-bridge
plat-180.md	coding-agent-bridge
plat-182.md	scheduler-runs
plat-183.md	coding-agent-bridge
plat-184.md	cost-telemetry
plat-185.md	security-sandbox
plat-186.md	coding-agent-bridge
plat-187.md	coding-agent-bridge
plat-188.md	coding-agent-bridge
plat-189.md	evaluation
plat-190.md	learnings-knowledge
plat-191.md	scheduler-runs
plat-192.md	step-execution
plat-193.md	coding-agent-bridge
plat-194.md	scheduler-runs
plat-195.md	step-execution
plat-196.md	pulse-governance
plat-197.md	plans-contracts
plat-198.md	pulse-governance
plat-199.md	pulse-governance
plat-200.md	browser-automation
plat-201.md	step-execution
plat-202.md	step-execution
plat-203.md	cost-telemetry
plat-204.md	browser-automation
plat-205.md	plans-contracts
plat-206.md	pulse-governance
plat-207.md	human-decisions
plat-208.md	human-decisions
plat-209.md	coding-agent-bridge
plat-210.md	scheduler-runs
plat-211.md	step-execution
plat-212.md	plans-contracts
plat-213.md	pulse-governance
plat-214.md	pulse-governance
plat-215.md	browser-automation
plat-216.md	step-execution
plat-217.md	pulse-governance
plat-218.md	human-decisions
plat-219.md	scheduler-runs
plat-220.md	pulse-governance
plat-221.md	step-execution
plat-222.md	pulse-governance
plat-223.md	learnings-knowledge
plat-224.md	browser-automation
plat-225.md	coding-agent-bridge
plat-226.md	cost-telemetry
plat-227.md	evaluation
plat-228.md	learnings-knowledge
plat-229.md	evaluation
plat-230.md	plans-contracts
plat-231.md	browser-automation
plat-232.md	browser-automation
plat-233.md	browser-automation
plat-234.md	coding-agent-bridge
plat-235.md	browser-automation
plat-236.md	evaluation
plat-237.md	browser-automation
plat-238.md	step-execution
plat-239.md	pulse-governance
plat-240.md	pulse-governance
plat-241.md	scheduler-runs
plat-242.md	scheduler-runs
plat-243.md	evaluation
plat-244.md	security-sandbox
plat-245.md	pulse-governance
